Comment,Designator,Footprint,LCSC Part #
Electrosmith_Daisy_Seed_Rev4 Daisy is an embedded platform for music.,A1,Electrosmith_Daisy_Seed,HAND PLACE
0.1uF 0402 Unpolarized capacitor,"C1,C2,C3,C6,C7,C8,C9,C10,C14,C15,C16,C18,C22,C23,C24,C25,C26",C_0402_1005Metric,C1525
10U Unpolarized capacitor,"C4,C5,C11,C12,C13,C17",C_0805_2012Metric,C15850
100uF Unpolarized capacitor,C19,C_1210_3225Metric,C15008
DNP_100uF Unpolarized capacitor,"C20,C21",C_1210_3225Metric,DNP
100pF COG Unpolarized capacitor,C27,C_0402_1005Metric,C1546
1uF Unpolarized capacitor,C28,C_0603_1608Metric,C15849
DNP Unpolarized capacitor,"C70,C71",C_0402_1005Metric,DNP
"D_Schottky Schottky diode, small symbol",D1,D_SOD-323,C191023
"SS54 SMC Schottky diode, 40V, 5A, Alternate KiCAD Library","D2,D3",D_SMA,C22452
MountingHole Mounting Hole without connection,"H1,H2,H3,H4",MountingHole_3.2mm_M3_DIN965_Pad,DNP
Conn_01x03 HEADER 1x3 MALE PINS 0.100” 180deg,"J1,J3,J10,J14",PinHeader_1x03_P2.54mm_Vertical_Female,HAND PLACE
Conn_01x02 HEADER 1x2 MALE PINS 0.100” 180deg,"J2,J6,J8,J9,J11,J12,J13,J16,J17,J25,J26",PinHeader_1x02_P2.54mm_VerticalFemale,HAND PLACE
5027740891 ,J4,CONN9_0185-02_GSW,C5155564
"Conn_01x04 Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","J5,J7,J20",PinHeader_1x04_P2.54mm_Vertical_Female,HAND PLACE
USB_B_Micro USB Micro Type B connector,J15,USB_Micro-B_Molex-105017-0001,C136000
Conn_02x04 HEADER 2x4 MALE PINS 0.100” 180deg,"J18,J21",PinHeader_2x04_P2.54mm_Vertical_Female,HAND PLACE
"Conn_01x06 Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",J19,PinHeader_1x06_P2.54mm_Vertical_Female,HAND PLACE
"Pins_02x10_P2.54mm_TH Header 2x10 Pins, Pitch=1.27mm, Pin Height=3mm, Vertical, TH",J23,PinHeader_2x10_P2.54mm_Vertical,HAND PLACE
"Conn_01x10 Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)",J24,PinHeader_1x10_P2.54mm_Vertical,HAND PLACE
"47k Resistor, US symbol","R1,R2,R3,R4,R14",R_0402_1005Metric,C25792
"1M Resistor, US symbol","R5,R7,R9,R10,R15,R16,R21,R22,R23,R24,R25,R30,R31,R67",R_0402_1005Metric,C26083
"10k Resistor, US symbol","R6,R11,R20",R_0402_1005Metric,C25744
"0 Resistor, US symbol","R8,R56,R59,R62,R66",R_0402_1005Metric,C17168
"2.2k Resistor, US symbol","R12,R13",R_0402_1005Metric,C25879
"100k Resistor, US symbol",R17,R_0402_1005Metric,C25741
"100 Resistor, US symbol","R18,R19",R_0402_1005Metric,C25076
"DNP Resistor, US symbol","R26,R27,R28,R29,R34,R60,R61",R_0402_1005Metric,DNP
"4.7k Resistor, US symbol","R32,R33",R_0402_1005Metric,C25900
"10 Resistor, US symbol",R52,R_0402_1005Metric,C25077
"33 Resistor, US symbol",R53,R_0402_1005Metric,C25105
"220 Resistor, US symbol",R54,R_0402_1005Metric,C25091
"470 Resistor, US symbol",R55,R_0402_1005Metric,C25117
H11L1M OPTOISO 4.17KV OPN COLL 6DIP,U1,DIP-6_W7.62mm,C16587
MAX4466EXK_T IC PREAMP AUDIO MONO AB SC70-5,U2,SOT-353,C7456762
~ ,U3,D8_TEX,C206212
"LIS2DE12 3-Axis Accelerometer, 2/4/8/16g range, I2C/SPI interface",U4,LGA-12_2x2mm_P0.5mm,C155639
TLV9062IDR ,U7,D0008A_N,C398355
TPD2EUSB30ADRTR ,U10,DRT3,C2997271
